marketplace_sku,asin,im_sku,region,SalesChannel,level_1,Linnworks Title,linnwork's_sku_received_from,Comment  
WAC-W8G-L-ES,B0BZS3Z624,WAC-W8G-L,ES,Amazon.es,GYM ACCESSORIES,GYM LIFTING COTTON 8 STRAPS GRAY-L,Rida Batool,
BGR-F7P-12OZ,B007EAU3B0,BGR-F7P-12OZ,UK,Amazon.co.uk,BOXING GLOVES,BOXING GLOVE BGR-F7 PINK-12OZ,Rida Batool,
HYP-IS2R-L-IT,B0B5233GWN,HYP-IS2R-L,IT,Amazon.it,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 RED-L,Rida Batool,
MSS-T15B-2XL-IT,B076B1PV8R,MSS-T15B-2XL,IT,Amazon.it,MMA SHORTS,MMA SHORTS T15 BLACK-2XL,Rida Batool,
HYP-EB-XL,B004X2GU6E,HYP-EB-XL,UK,Amazon.co.uk,HOSIERY ITEMS,HOSIERY ELBOW FOAM BLACK/GOLDEN-XL,Rida Batool,
WGS-F6GN-S-ES,B0B46WVCCQ,WGS-F6GN-S,ES,Amazon.es,GYM GLOVES,GYM GLOVES SUMBLIMATION F6 BLACK/GREEN-S,Rida Batool,
WBE-RX3SP-N-DE-L,B0B3S34H7K,WBE-RX3SP-L,DE,Amazon.de,BELTS,WEIGHT LIFTING BELT EVA CURVE RX3 SHARP PINK-L,Rida Batool,
WGN-X1U-DE-S/M,B0995WT65H,WGN-X1U-S/M,DE,Amazon.de,ABANDONED ITEMS,WEIGHT LIFTING GLOVES X1 BLUE LONG STRAP-S/M,Rida Batool,
MSC-T16RB-2XL,B0CSKD12Y5,MSC-T16RB-2XL,UK,Amazon.co.uk,MMA SHORTS,MMA SHORTS T16 RED/BLACK-2XL,Rida Batool,
YM-TPE-D7-DE,B08VN8NNKZ,YM-TPE-D7,DE,Amazon.de,YOGA STUFF,TPE YOGA MAT-DESIGN-7 (15510),Rida Batool,
